year,state,city,category,cases,chargesheeting_rate_2024
2022,Gujarat,Ahmedabad,Senior Citizen,238.0,51.1
2022,Karnataka,Bengaluru,Senior Citizen,458.0,57.4
2022,Tamil Nadu,Chennai,Senior Citizen,391.0,89.7
2022,Tamil Nadu,Coimbatore,Senior Citizen,6.0,92.3
2022,Delhi,Delhi City,Senior Citizen,1313.0,51.6
2022,Uttar Pradesh,Ghaziabad,Senior Citizen,0.0,-
2022,Telangana,Hyderabad,Senior Citizen,331.0,-
2022,Madhya Pradesh,Indore,Senior Citizen,207.0,96
2022,Rajasthan,Jaipur,Senior Citizen,83.0,15.6
2022,Uttar Pradesh,Kanpur,Senior Citizen,0.0,-
2022,Kerala,Kochi,Senior Citizen,74.0,81.8
2022,West Bengal,Kolkata,Senior Citizen,2.0,100
2022,Kerala,Kozhikode,Senior Citizen,52.0,96
2022,Uttar Pradesh,Lucknow,Senior Citizen,0.0,-
2022,Maharashtra,Mumbai,Senior Citizen,572.0,51.6
2022,Maharashtra,Nagpur,Senior Citizen,167.0,51.1
2022,Bihar,Patna,Senior Citizen,0.0,-
2022,Maharashtra,Pune,Senior Citizen,69.0,35.4
2022,Gujarat,Surat,Senior Citizen,33.0,61.5
2023,Gujarat,Ahmedabad,Senior Citizen,184.0,51.1
2023,Karnataka,Bengaluru,Senior Citizen,649.0,57.4
2023,Tamil Nadu,Chennai,Senior Citizen,399.0,89.7
2023,Tamil Nadu,Coimbatore,Senior Citizen,24.0,92.3
2023,Delhi,Delhi City,Senior Citizen,1361.0,51.6
2023,Uttar Pradesh,Ghaziabad,Senior Citizen,0.0,-
2023,Telangana,Hyderabad,Senior Citizen,292.0,-
2023,Madhya Pradesh,Indore,Senior Citizen,273.0,96
2023,Rajasthan,Jaipur,Senior Citizen,185.0,15.6
2023,Uttar Pradesh,Kanpur,Senior Citizen,0.0,-
2023,Kerala,Kochi,Senior Citizen,126.0,81.8
2023,West Bengal,Kolkata,Senior Citizen,6.0,100
2023,Kerala,Kozhikode,Senior Citizen,93.0,96
2023,Uttar Pradesh,Lucknow,Senior Citizen,0.0,-
2023,Maharashtra,Mumbai,Senior Citizen,518.0,51.6
2023,Maharashtra,Nagpur,Senior Citizen,231.0,51.1
2023,Bihar,Patna,Senior Citizen,0.0,-
2023,Maharashtra,Pune,Senior Citizen,57.0,35.4
2023,Gujarat,Surat,Senior Citizen,14.0,61.5
2024,Gujarat,Ahmedabad,Senior Citizen,166.0,51.1
2024,Karnataka,Bengaluru,Senior Citizen,660.0,57.4
2024,Tamil Nadu,Chennai,Senior Citizen,251.0,89.7
2024,Tamil Nadu,Coimbatore,Senior Citizen,49.0,92.3
2024,Delhi,Delhi City,Senior Citizen,1267.0,51.6
2024,Uttar Pradesh,Ghaziabad,Senior Citizen,0.0,-
2024,Telangana,Hyderabad,Senior Citizen,1.0,-
2024,Madhya Pradesh,Indore,Senior Citizen,113.0,96
2024,Rajasthan,Jaipur,Senior Citizen,72.0,15.6
2024,Uttar Pradesh,Kanpur,Senior Citizen,0.0,-
2024,Kerala,Kochi,Senior Citizen,263.0,81.8
2024,West Bengal,Kolkata,Senior Citizen,3.0,100
2024,Kerala,Kozhikode,Senior Citizen,103.0,96
2024,Uttar Pradesh,Lucknow,Senior Citizen,0.0,-
2024,Maharashtra,Mumbai,Senior Citizen,791.0,51.6
2024,Maharashtra,Nagpur,Senior Citizen,204.0,51.1
2024,Bihar,Patna,Senior Citizen,0.0,-
2024,Maharashtra,Pune,Senior Citizen,151.0,35.4
2024,Gujarat,Surat,Senior Citizen,13.0,61.5
