year,state,city,category,cases,chargesheeting_rate_2024
2022,Gujarat,Ahmedabad,children,829,82.9
2022,Karnataka,Bengaluru,children,1578,37.0
2022,Tamil Nadu,Chennai,children,514,96.0
2022,Tamil Nadu,Coimbatore,children,83,96.2
2022,Delhi,Delhi City,children,7400,31.7
2022,Uttar Pradesh,Ghaziabad,children,189,47.4
2022,Telangana,Hyderabad,children,645,59.3
2022,Madhya Pradesh,Indore,children,1082,46.3
2022,Rajasthan,Jaipur,children,980,33.9
2022,Uttar Pradesh,Kanpur,children,437,79.2
2022,Kerala,Kochi,children,206,91.1
2022,West Bengal,Kolkata,children,602,99.6
2022,Kerala,Kozhikode,children,265,86.7
2022,Uttar Pradesh,Lucknow,children,398,59.9
2022,Maharashtra,Mumbai,children,3178,52.3
2022,Maharashtra,Nagpur,children,765,42.6
2022,Bihar,Patna,children,127,72.7
2022,Maharashtra,Pune,children,732,57.7
2022,Gujarat,Surat,children,540,52.9
2023,Gujarat,Ahmedabad,children,832,82.9
2023,Karnataka,Bengaluru,children,1982,37.0
2023,Tamil Nadu,Chennai,children,573,96.0
2023,Tamil Nadu,Coimbatore,children,193,96.2
2023,Delhi,Delhi City,children,7731,31.7
2023,Uttar Pradesh,Ghaziabad,children,208,47.4
2023,Telangana,Hyderabad,children,692,59.3
2023,Madhya Pradesh,Indore,children,1236,46.3
2023,Rajasthan,Jaipur,children,1099,33.9
2023,Uttar Pradesh,Kanpur,children,426,79.2
2023,Kerala,Kochi,children,230,91.1
2023,West Bengal,Kolkata,children,297,99.6
2023,Kerala,Kozhikode,children,250,86.7
2023,Uttar Pradesh,Lucknow,children,844,59.9
2023,Maharashtra,Mumbai,children,3110,52.3
2023,Maharashtra,Nagpur,children,802,42.6
2023,Bihar,Patna,children,144,72.7
2023,Maharashtra,Pune,children,1234,57.7
2023,Gujarat,Surat,children,550,52.9
2024,Gujarat,Ahmedabad,children,942,82.9
2024,Karnataka,Bengaluru,children,2026,37.0
2024,Tamil Nadu,Chennai,children,719,96.0
2024,Tamil Nadu,Coimbatore,children,243,96.2
2024,Delhi,Delhi City,children,7662,31.7
2024,Uttar Pradesh,Ghaziabad,children,713,47.4
2024,Telangana,Hyderabad,children,920,59.3
2024,Madhya Pradesh,Indore,children,1157,46.3
2024,Rajasthan,Jaipur,children,863,33.9
2024,Uttar Pradesh,Kanpur,children,379,79.2
2024,Kerala,Kochi,children,267,91.1
2024,West Bengal,Kolkata,children,468,99.6
2024,Kerala,Kozhikode,children,245,86.7
2024,Uttar Pradesh,Lucknow,children,880,59.9
2024,Maharashtra,Mumbai,children,3374,52.3
2024,Maharashtra,Nagpur,children,977,42.6
2024,Bihar,Patna,children,653,72.7
2024,Maharashtra,Pune,children,1330,57.7
2024,Gujarat,Surat,children,559,52.9
